GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size)
-1736706973,Azul,0,ABOUT_TO_START,0,0,2,78,8
495771121,Azul,0,ABOUT_TO_START,0,0,2,79,8
-12404773,Azul,0,ABOUT_TO_START,0,0,2,80,8
1189567785,Azul,0,ABOUT_TO_START,0,0,2,81,8
-307597265,Azul,0,ABOUT_TO_START,0,0,2,82,8
-147846492,Azul,0,ABOUT_TO_START,0,0,2,83,8
-1255271398,Azul,0,ABOUT_TO_START,0,0,2,84,8
1218804073,Azul,0,ABOUT_TO_START,0,0,2,85,8
-100466793,Azul,0,ABOUT_TO_START,0,0,2,86,8
-1305454288,Azul,0,ABOUT_TO_START,0,0,2,87,8
2052598491,Azul,0,ABOUT_TO_START,0,0,2,88,8
-275667857,Azul,0,ABOUT_TO_START,0,0,2,89,8
1636136701,Azul,0,ABOUT_TO_START,0,0,2,90,8
-1207181994,Azul,0,ABOUT_TO_START,0,0,2,91,8
1424783075,Azul,0,ABOUT_TO_START,0,0,2,92,8
-738525365,Azul,0,ABOUT_TO_START,0,0,2,93,8
736124786,Azul,0,ABOUT_TO_START,0,0,2,94,8
138500524,Azul,0,ABOUT_TO_START,0,0,2,95,8
-563787748,Azul,0,ABOUT_TO_START,0,0,2,96,8
84199897,Azul,0,ABOUT_TO_START,0,0,2,97,8
-1279054539,Azul,0,ABOUT_TO_START,0,0,2,98,8
-1258549801,Azul,0,ABOUT_TO_START,0,0,2,99,8
-471513157,Azul,0,ABOUT_TO_START,0,0,2,100,8
-995361264,Azul,0,ABOUT_TO_START,0,0,2,101,8
